[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[00:12:25] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[00:12:26] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[00:26:59] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
